订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20116290777480089600,出售,USDT,CNY,603.0400000000000000,6.9300000000000000,87.0200000000000000,"",舜坤,已完成,2020-07-14 09:44:46
20134692690263785472,购买,USDT,CNY,2400.0000000000000000,6.9000000000000000,347.8200000000000000,"",周小姐的店,已完成,2020-09-03 04:27:23
20134703403338092544,出售,USDT,CNY,2384.3000000000000000,6.8700000000000000,347.0600000000000000,"",賢仔,已完成,2020-09-03 05:09:58
20139129209159262208,购买,USDT,CNY,2000.0000000000000000,6.8200000000000000,293.2500000000000000,"",诚,已取消,2020-09-15 10:16:32
20139129351641731072,购买,USDT,CNY,2000.0000000000000000,6.8400000000000000,292.3900000000000000,"",大牛来了吧,已完成,2020-09-15 10:17:06
20143924947519672320,出售,USDT,CNY,847.0200000000000000,6.6900000000000000,126.6100000000000000,"",舜坤,已完成,2020-09-28 15:53:06
