订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20390558188488556544,购买,USDT,CNY,1000.0000000000000000,6.7000000000000000,149.2500000000000000,"",春暖,已取消,2022-08-10 05:45:32
20395548294603497472,购买,USDT,CNY,5687.0000000000000000,6.7700000000000000,840.0200000000000000,"",aisaozi,已取消,2022-08-24 00:14:26
20395751822992515072,购买,USDT,CNY,5802.0000000000000000,6.7800000000000000,855.7500000000000000,"",旺旺商行,已完成,2022-08-24 13:43:11
20401471581595602944,购买,USDT,CNY,1339.0000000000000000,6.9600000000000000,192.3800000000000000,"",旺旺商行,已完成,2022-09-09 08:31:28
20404989598377017344,购买,USDT,CNY,1908.3000000000000000,7.0000000000000000,272.6100000000000000,"",太阳系资本,已完成,2022-09-19 01:30:48
20405467490930012160,购买,USDT,CNY,4500.0000000000000000,7.0000000000000000,642.8500000000000000,"",太阳系资本,已完成,2022-09-20 09:09:47
20407964706767532032,购买,USDT,CNY,2000.0000000000000000,7.1200000000000000,280.8900000000000000,"",太阳系资本,已完成,2022-09-27 06:32:49
