订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
2080610165269159936,购买,USDT,CNY,4500.0000000000000000,7.2000000000000000,625.0000000000000000,"",招财猫,已完成,2020-04-06 22:42:45
2081553781180366848,购买,USDT,CNY,7000.0000000000000000,7.1700000000000000,976.2900000000000000,"",tencentnews otc♥,已完成,2020-04-09 13:12:20
2081913729120182272,购买,USDT,CNY,10000.0000000000000000,7.2000000000000000,1388.8800000000000000,"",涨涨涨,已完成,2020-04-10 13:02:39
2086227873149329408,购买,USDT,CNY,30000.0000000000000000,7.1600000000000000,4189.9400000000000000,"",FFFFFFFFFF,已完成,2020-04-22 10:45:31
2086656115740917760,购买,USDT,CNY,30000.0000000000000000,7.1400000000000000,4201.6800000000000000,"",百事可乐,已取消,2020-04-23 15:07:12
2086657787996442624,购买,USDT,CNY,30000.0000000000000000,7.1400000000000000,4201.6800000000000000,"",百事可乐,已完成,2020-04-23 15:13:50
2091924392479993856,出售,USDT,CNY,51952.3000000000000000,7.0100000000000000,7411.1700000000000000,"",周小姐的店,已完成,2020-05-08 04:01:27
